Areaname,commaloc,Admin2,StateAbrev,State
"Pointe Coupee, LA",14,Pointe Coupee,LA,Louisiana
"Rapides, LA",8,Rapides,LA,Louisiana
"Red River, LA",10,Red River,LA,Louisiana
"Richland, LA",9,Richland,LA,Louisiana
"Sabine, LA",7,Sabine,LA,Louisiana
"St. Bernard, LA",12,St. Bernard,LA,Louisiana
"St. Charles, LA",12,St. Charles,LA,Louisiana
"St. Helena, LA",11,St. Helena,LA,Louisiana
"St. James, LA",10,St. James,LA,Louisiana
"St. John the Baptist, LA",21,St. John the Baptist,LA,Louisiana
"St. Landry, LA",11,St. Landry,LA,Louisiana
"St. Martin, LA",11,St. Martin,LA,Louisiana
"St. Mary, LA",9,St. Mary,LA,Louisiana
"St. Tammany, LA",12,St. Tammany,LA,Louisiana
"Tangipahoa, LA",11,Tangipahoa,LA,Louisiana
"Tensas, LA",7,Tensas,LA,Louisiana
"Terrebonne, LA",11,Terrebonne,LA,Louisiana
"Union, LA",6,Union,LA,Louisiana
"Vermilion, LA",10,Vermilion,LA,Louisiana
"Vernon, LA",7,Vernon,LA,Louisiana
"Washington, LA",11,Washington,LA,Louisiana
"Webster, LA",8,Webster,LA,Louisiana
"West Baton Rouge, LA",17,West Baton Rouge,LA,Louisiana
"West Carroll, LA",13,West Carroll,LA,Louisiana
"West Feliciana, LA",15,West Feliciana,LA,Louisiana
"Winn, LA",5,Winn,LA,Louisiana
"Androscoggin, ME",13,Androscoggin,ME,Maine
"Aroostook, ME",10,Aroostook,ME,Maine
"Cumberland, ME",11,Cumberland,ME,Maine
"Franklin, ME",9,Franklin,ME,Maine
"Hancock, ME",8,Hancock,ME,Maine
"Kennebec, ME",9,Kennebec,ME,Maine
"Knox, ME",5,Knox,ME,Maine
"Lincoln, ME",8,Lincoln,ME,Maine
"Oxford, ME",7,Oxford,ME,Maine
"Penobscot, ME",10,Penobscot,ME,Maine
"Piscataquis, ME",12,Piscataquis,ME,Maine
"Sagadahoc, ME",10,Sagadahoc,ME,Maine
"Somerset, ME",9,Somerset,ME,Maine
"Waldo, ME",6,Waldo,ME,Maine
"Washington, ME",11,Washington,ME,Maine
"York, ME",5,York,ME,Maine
"Allegany, MD",9,Allegany,MD,Maryland
"Anne Arundel, MD",13,Anne Arundel,MD,Maryland
"Baltimore city, MD",15,Baltimore city,MD,Maryland
"Baltimore, MD",10,Baltimore,MD,Maryland
"Calvert, MD",8,Calvert,MD,Maryland
"Caroline, MD",9,Caroline,MD,Maryland
"Carroll, MD",8,Carroll,MD,Maryland
"Cecil, MD",6,Cecil,MD,Maryland
"Charles, MD",8,Charles,MD,Maryland
"Dorchester, MD",11,Dorchester,MD,Maryland
"Frederick, MD",10,Frederick,MD,Maryland
"Garrett, MD",8,Garrett,MD,Maryland
"Harford, MD",8,Harford,MD,Maryland
"Howard, MD",7,Howard,MD,Maryland
"Kent, MD",5,Kent,MD,Maryland
"Montgomery, MD",11,Montgomery,MD,Maryland
"Prince George's, MD",16,Prince George's,MD,Maryland
"Queen Anne's, MD",13,Queen Anne's,MD,Maryland
"Somerset, MD",9,Somerset,MD,Maryland
"St. Mary's, MD",11,St. Mary's,MD,Maryland
"Talbot, MD",7,Talbot,MD,Maryland
"Washington, MD",11,Washington,MD,Maryland
"Wicomico, MD",9,Wicomico,MD,Maryland
"Worcester, MD",10,Worcester,MD,Maryland
"Barnstable, MA",11,Barnstable,MA,Massachusetts
"Berkshire, MA",10,Berkshire,MA,Massachusetts
"Bristol, MA",8,Bristol,MA,Massachusetts
"Dukes, MA",6,Dukes,MA,Massachusetts
"Essex, MA",6,Essex,MA,Massachusetts
"Franklin, MA",9,Franklin,MA,Massachusetts
"Hampden, MA",8,Hampden,MA,Massachusetts
"Hampshire, MA",10,Hampshire,MA,Massachusetts
"Middlesex, MA",10,Middlesex,MA,Massachusetts
"Nantucket, MA",10,Nantucket,MA,Massachusetts
"Norfolk, MA",8,Norfolk,MA,Massachusetts
"Plymouth, MA",9,Plymouth,MA,Massachusetts
"Suffolk, MA",8,Suffolk,MA,Massachusetts
"Worcester, MA",10,Worcester,MA,Massachusetts
"Alcona, MI",7,Alcona,MI,Michigan
"Alger, MI",6,Alger,MI,Michigan
"Allegan, MI",8,Allegan,MI,Michigan
"Alpena, MI",7,Alpena,MI,Michigan
"Antrim, MI",7,Antrim,MI,Michigan
"Arenac, MI",7,Arenac,MI,Michigan
"Baraga, MI",7,Baraga,MI,Michigan
"Barry, MI",6,Barry,MI,Michigan
"Bay, MI",4,Bay,MI,Michigan
"Benzie, MI",7,Benzie,MI,Michigan
"Berrien, MI",8,Berrien,MI,Michigan
"Branch, MI",7,Branch,MI,Michigan
"Calhoun, MI",8,Calhoun,MI,Michigan
"Cass, MI",5,Cass,MI,Michigan
"Charlevoix, MI",11,Charlevoix,MI,Michigan
"Cheboygan, MI",10,Cheboygan,MI,Michigan
"Chippewa, MI",9,Chippewa,MI,Michigan
"Clare, MI",6,Clare,MI,Michigan
"Clinton, MI",8,Clinton,MI,Michigan
"Crawford, MI",9,Crawford,MI,Michigan
"Delta, MI",6,Delta,MI,Michigan
"Dickinson, MI",10,Dickinson,MI,Michigan
"Eaton, MI",6,Eaton,MI,Michigan
"Emmet, MI",6,Emmet,MI,Michigan
"Genesee, MI",8,Genesee,MI,Michigan
"Gladwin, MI",8,Gladwin,MI,Michigan
"Gogebic, MI",8,Gogebic,MI,Michigan
"Grand Traverse, MI",15,Grand Traverse,MI,Michigan
"Gratiot, MI",8,Gratiot,MI,Michigan
"Hillsdale, MI",10,Hillsdale,MI,Michigan
"Houghton, MI",9,Houghton,MI,Michigan
"Huron, MI",6,Huron,MI,Michigan
"Ingham, MI",7,Ingham,MI,Michigan
"Ionia, MI",6,Ionia,MI,Michigan
"Iosco, MI",6,Iosco,MI,Michigan
"Iron, MI",5,Iron,MI,Michigan
"Isabella, MI",9,Isabella,MI,Michigan
"Jackson, MI",8,Jackson,MI,Michigan
"Kalamazoo, MI",10,Kalamazoo,MI,Michigan
"Kalkaska, MI",9,Kalkaska,MI,Michigan
"Kent, MI",5,Kent,MI,Michigan
"Keweenaw, MI",9,Keweenaw,MI,Michigan
"Lake, MI",5,Lake,MI,Michigan
"Lapeer, MI",7,Lapeer,MI,Michigan
"Leelanau, MI",9,Leelanau,MI,Michigan
"Lenawee, MI",8,Lenawee,MI,Michigan
"Livingston, MI",11,Livingston,MI,Michigan
"Luce, MI",5,Luce,MI,Michigan
"Mackinac, MI",9,Mackinac,MI,Michigan
"Macomb, MI",7,Macomb,MI,Michigan
"Manistee, MI",9,Manistee,MI,Michigan
"Marquette, MI",10,Marquette,MI,Michigan
"Mason, MI",6,Mason,MI,Michigan
"Mecosta, MI",8,Mecosta,MI,Michigan
"Menominee, MI",10,Menominee,MI,Michigan
"Midland, MI",8,Midland,MI,Michigan
"Missaukee, MI",10,Missaukee,MI,Michigan
"Monroe, MI",7,Monroe,MI,Michigan
"Montcalm, MI",9,Montcalm,MI,Michigan
"Montmorency, MI",12,Montmorency,MI,Michigan
"Muskegon, MI",9,Muskegon,MI,Michigan
"Newaygo, MI",8,Newaygo,MI,Michigan
"Oakland, MI",8,Oakland,MI,Michigan
"Oceana, MI",7,Oceana,MI,Michigan
"Ogemaw, MI",7,Ogemaw,MI,Michigan
"Ontonagon, MI",10,Ontonagon,MI,Michigan
"Osceola, MI",8,Osceola,MI,Michigan
"Oscoda, MI",7,Oscoda,MI,Michigan
"Otsego, MI",7,Otsego,MI,Michigan
"Ottawa, MI",7,Ottawa,MI,Michigan
"Presque Isle, MI",13,Presque Isle,MI,Michigan
"Roscommon, MI",10,Roscommon,MI,Michigan
"Saginaw, MI",8,Saginaw,MI,Michigan
"Sanilac, MI",8,Sanilac,MI,Michigan
"Schoolcraft, MI",12,Schoolcraft,MI,Michigan
"Shiawassee, MI",11,Shiawassee,MI,Michigan
"St. Clair, MI",10,St. Clair,MI,Michigan
"St. Joseph, MI",11,St. Joseph,MI,Michigan
"Tuscola, MI",8,Tuscola,MI,Michigan
"Van Buren, MI",10,Van Buren,MI,Michigan
"Washtenaw, MI",10,Washtenaw,MI,Michigan
"Wayne, MI",6,Wayne,MI,Michigan
"Wexford, MI",8,Wexford,MI,Michigan
"Aitkin, MN",7,Aitkin,MN,Minnesota
"Anoka, MN",6,Anoka,MN,Minnesota
"Becker, MN",7,Becker,MN,Minnesota
"Beltrami, MN",9,Beltrami,MN,Minnesota
"Benton, MN",7,Benton,MN,Minnesota
"Big Stone, MN",10,Big Stone,MN,Minnesota
"Blue Earth, MN",11,Blue Earth,MN,Minnesota
"Brown, MN",6,Brown,MN,Minnesota
"Carlton, MN",8,Carlton,MN,Minnesota
"Carver, MN",7,Carver,MN,Minnesota
"Cass, MN",5,Cass,MN,Minnesota
"Chippewa, MN",9,Chippewa,MN,Minnesota
"Chisago, MN",8,Chisago,MN,Minnesota
"Clay, MN",5,Clay,MN,Minnesota
"Clearwater, MN",11,Clearwater,MN,Minnesota
"Cook, MN",5,Cook,MN,Minnesota
"Cottonwood, MN",11,Cottonwood,MN,Minnesota
"Crow Wing, MN",10,Crow Wing,MN,Minnesota
"Dakota, MN",7,Dakota,MN,Minnesota
"Dodge, MN",6,Dodge,MN,Minnesota
"Douglas, MN",8,Douglas,MN,Minnesota
"Faribault, MN",10,Faribault,MN,Minnesota
"Fillmore, MN",9,Fillmore,MN,Minnesota
"Freeborn, MN",9,Freeborn,MN,Minnesota
"Goodhue, MN",8,Goodhue,MN,Minnesota
"Grant, MN",6,Grant,MN,Minnesota
"Hennepin, MN",9,Hennepin,MN,Minnesota
"Houston, MN",8,Houston,MN,Minnesota
"Hubbard, MN",8,Hubbard,MN,Minnesota
"Isanti, MN",7,Isanti,MN,Minnesota
"Itasca, MN",7,Itasca,MN,Minnesota
"Jackson, MN",8,Jackson,MN,Minnesota
"Kanabec, MN",8,Kanabec,MN,Minnesota
"Kandiyohi, MN",10,Kandiyohi,MN,Minnesota
"Kittson, MN",8,Kittson,MN,Minnesota
"Koochiching, MN",12,Koochiching,MN,Minnesota
"Lac qui Parle, MN",14,Lac qui Parle,MN,Minnesota
"Lake of the Woods, MN",18,Lake of the Woods,MN,Minnesota
"Lake, MN",5,Lake,MN,Minnesota
"Le Sueur, MN",9,Le Sueur,MN,Minnesota
"Lincoln, MN",8,Lincoln,MN,Minnesota
"Lyon, MN",5,Lyon,MN,Minnesota
"Mahnomen, MN",9,Mahnomen,MN,Minnesota
"Marshall, MN",9,Marshall,MN,Minnesota
"Martin, MN",7,Martin,MN,Minnesota
"McLeod, MN",7,McLeod,MN,Minnesota
"Meeker, MN",7,Meeker,MN,Minnesota
"Mille Lacs, MN",11,Mille Lacs,MN,Minnesota
"Morrison, MN",9,Morrison,MN,Minnesota
"Mower, MN",6,Mower,MN,Minnesota
"Murray, MN",7,Murray,MN,Minnesota
"Nicollet, MN",9,Nicollet,MN,Minnesota
"Nobles, MN",7,Nobles,MN,Minnesota
"Norman, MN",7,Norman,MN,Minnesota
"Olmsted, MN",8,Olmsted,MN,Minnesota
"Otter Tail, MN",11,Otter Tail,MN,Minnesota
"Pennington, MN",11,Pennington,MN,Minnesota
"Pine, MN",5,Pine,MN,Minnesota
"Pipestone, MN",10,Pipestone,MN,Minnesota
"Polk, MN",5,Polk,MN,Minnesota
"Pope, MN",5,Pope,MN,Minnesota
"Ramsey, MN",7,Ramsey,MN,Minnesota
"Red Lake, MN",9,Red Lake,MN,Minnesota
"Redwood, MN",8,Redwood,MN,Minnesota
"Renville, MN",9,Renville,MN,Minnesota
"Rice, MN",5,Rice,MN,Minnesota
"Rock, MN",5,Rock,MN,Minnesota
"Roseau, MN",7,Roseau,MN,Minnesota
"Scott, MN",6,Scott,MN,Minnesota
"Sherburne, MN",10,Sherburne,MN,Minnesota
"Sibley, MN",7,Sibley,MN,Minnesota
"St. Louis, MN",10,St. Louis,MN,Minnesota
"Stearns, MN",8,Stearns,MN,Minnesota
"Steele, MN",7,Steele,MN,Minnesota
"Stevens, MN",8,Stevens,MN,Minnesota
"Swift, MN",6,Swift,MN,Minnesota
"Todd, MN",5,Todd,MN,Minnesota
"Traverse, MN",9,Traverse,MN,Minnesota
"Wabasha, MN",8,Wabasha,MN,Minnesota
"Wadena, MN",7,Wadena,MN,Minnesota
"Waseca, MN",7,Waseca,MN,Minnesota
"Washington, MN",11,Washington,MN,Minnesota
"Watonwan, MN",9,Watonwan,MN,Minnesota
"Wilkin, MN",7,Wilkin,MN,Minnesota
"Winona, MN",7,Winona,MN,Minnesota
"Wright, MN",7,Wright,MN,Minnesota
"Yellow Medicine, MN",16,Yellow Medicine,MN,Minnesota
"Adams, MS",6,Adams,MS,Mississippi
"Alcorn, MS",7,Alcorn,MS,Mississippi
"Amite, MS",6,Amite,MS,Mississippi
"Attala, MS",7,Attala,MS,Mississippi
"Benton, MS",7,Benton,MS,Mississippi
"Bolivar, MS",8,Bolivar,MS,Mississippi
"Calhoun, MS",8,Calhoun,MS,Mississippi
"Carroll, MS",8,Carroll,MS,Mississippi
"Chickasaw, MS",10,Chickasaw,MS,Mississippi
"Choctaw, MS",8,Choctaw,MS,Mississippi
"Claiborne, MS",10,Claiborne,MS,Mississippi
"Clarke, MS",7,Clarke,MS,Mississippi
"Clay, MS",5,Clay,MS,Mississippi
"Coahoma, MS",8,Coahoma,MS,Mississippi
"Copiah, MS",7,Copiah,MS,Mississippi
"Covington, MS",10,Covington,MS,Mississippi
"DeSoto, MS",7,DeSoto,MS,Mississippi
"Forrest, MS",8,Forrest,MS,Mississippi
"Franklin, MS",9,Franklin,MS,Mississippi
"George, MS",7,George,MS,Mississippi
"Greene, MS",7,Greene,MS,Mississippi
"Grenada, MS",8,Grenada,MS,Mississippi
"Hancock, MS",8,Hancock,MS,Mississippi
"Harrison, MS",9,Harrison,MS,Mississippi
"Hinds, MS",6,Hinds,MS,Mississippi
"Holmes, MS",7,Holmes,MS,Mississippi
"Humphreys, MS",10,Humphreys,MS,Mississippi
"Issaquena, MS",10,Issaquena,MS,Mississippi
"Itawamba, MS",9,Itawamba,MS,Mississippi
"Jackson, MS",8,Jackson,MS,Mississippi
"Jasper, MS",7,Jasper,MS,Mississippi
"Jefferson Davis, MS",16,Jefferson Davis,MS,Mississippi
"Jefferson, MS",10,Jefferson,MS,Mississippi
"Jones, MS",6,Jones,MS,Mississippi
"Kemper, MS",7,Kemper,MS,Mississippi
"Lafayette, MS",10,Lafayette,MS,Mississippi
"Lamar, MS",6,Lamar,MS,Mississippi
"Lauderdale, MS",11,Lauderdale,MS,Mississippi
"Lawrence, MS",9,Lawrence,MS,Mississippi
"Leake, MS",6,Leake,MS,Mississippi
"Lee, MS",4,Lee,MS,Mississippi
"Leflore, MS",8,Leflore,MS,Mississippi
"Lincoln, MS",8,Lincoln,MS,Mississippi
"Lowndes, MS",8,Lowndes,MS,Mississippi
"Madison, MS",8,Madison,MS,Mississippi
"Marion, MS",7,Marion,MS,Mississippi
"Marshall, MS",9,Marshall,MS,Mississippi
"Monroe, MS",7,Monroe,MS,Mississippi
"Montgomery, MS",11,Montgomery,MS,Mississippi
"Neshoba, MS",8,Neshoba,MS,Mississippi
"Newton, MS",7,Newton,MS,Mississippi
"Noxubee, MS",8,Noxubee,MS,Mississippi
"Oktibbeha, MS",10,Oktibbeha,MS,Mississippi
"Panola, MS",7,Panola,MS,Mississippi
"Pearl River, MS",12,Pearl River,MS,Mississippi
"Perry, MS",6,Perry,MS,Mississippi
"Pike, MS",5,Pike,MS,Mississippi
"Pontotoc, MS",9,Pontotoc,MS,Mississippi
"Prentiss, MS",9,Prentiss,MS,Mississippi
"Quitman, MS",8,Quitman,MS,Mississippi
"Rankin, MS",7,Rankin,MS,Mississippi
"Scott, MS",6,Scott,MS,Mississippi
"Sharkey, MS",8,Sharkey,MS,Mississippi
"Simpson, MS",8,Simpson,MS,Mississippi
"Smith, MS",6,Smith,MS,Mississippi
"Stone, MS",6,Stone,MS,Mississippi
"Sunflower, MS",10,Sunflower,MS,Mississippi
"Tallahatchie, MS",13,Tallahatchie,MS,Mississippi
"Tate, MS",5,Tate,MS,Mississippi
"Tippah, MS",7,Tippah,MS,Mississippi
"Tishomingo, MS",11,Tishomingo,MS,Mississippi
"Tunica, MS",7,Tunica,MS,Mississippi
"Union, MS",6,Union,MS,Mississippi
"Walthall, MS",9,Walthall,MS,Mississippi
"Warren, MS",7,Warren,MS,Mississippi
"Washington, MS",11,Washington,MS,Mississippi
"Wayne, MS",6,Wayne,MS,Mississippi
"Webster, MS",8,Webster,MS,Mississippi
"Wilkinson, MS",10,Wilkinson,MS,Mississippi
"Winston, MS",8,Winston,MS,Mississippi
"Yalobusha, MS",10,Yalobusha,MS,Mississippi
"Yazoo, MS",6,Yazoo,MS,Mississippi
"Adair, MO",6,Adair,MO,Missouri
"Andrew, MO",7,Andrew,MO,Missouri
"Atchison, MO",9,Atchison,MO,Missouri
"Audrain, MO",8,Audrain,MO,Missouri
"Barry, MO",6,Barry,MO,Missouri
"Barton, MO",7,Barton,MO,Missouri
"Bates, MO",6,Bates,MO,Missouri
"Benton, MO",7,Benton,MO,Missouri
"Bollinger, MO",10,Bollinger,MO,Missouri
"Boone, MO",6,Boone,MO,Missouri
"Buchanan, MO",9,Buchanan,MO,Missouri
"Butler, MO",7,Butler,MO,Missouri
"Caldwell, MO",9,Caldwell,MO,Missouri
"Callaway, MO",9,Callaway,MO,Missouri
"Camden, MO",7,Camden,MO,Missouri
"Cape Girardeau, MO",15,Cape Girardeau,MO,Missouri
"Carroll, MO",8,Carroll,MO,Missouri
"Carter, MO",7,Carter,MO,Missouri
"Cass, MO",5,Cass,MO,Missouri
"Cedar, MO",6,Cedar,MO,Missouri
"Chariton, MO",9,Chariton,MO,Missouri
"Christian, MO",10,Christian,MO,Missouri
"Clark, MO",6,Clark,MO,Missouri
"Clay, MO",5,Clay,MO,Missouri
"Clinton, MO",8,Clinton,MO,Missouri
"Cole, MO",5,Cole,MO,Missouri
"Cooper, MO",7,Cooper,MO,Missouri
"Crawford, MO",9,Crawford,MO,Missouri
"Dade, MO",5,Dade,MO,Missouri
"Dallas, MO",7,Dallas,MO,Missouri
"Daviess, MO",8,Daviess,MO,Missouri
"DeKalb, MO",7,DeKalb,MO,Missouri
"Dent, MO",5,Dent,MO,Missouri
"Douglas, MO",8,Douglas,MO,Missouri
"Dunklin, MO",8,Dunklin,MO,Missouri
"Franklin, MO",9,Franklin,MO,Missouri
"Gasconade, MO",10,Gasconade,MO,Missouri
"Gentry, MO",7,Gentry,MO,Missouri
"Greene, MO",7,Greene,MO,Missouri
"Grundy, MO",7,Grundy,MO,Missouri
"Harrison, MO",9,Harrison,MO,Missouri
"Henry, MO",6,Henry,MO,Missouri
"Hickory, MO",8,Hickory,MO,Missouri
"Holt, MO",5,Holt,MO,Missouri
"Howard, MO",7,Howard,MO,Missouri
"Howell, MO",7,Howell,MO,Missouri
"Iron, MO",5,Iron,MO,Missouri
"Jackson, MO",8,Jackson,MO,Missouri
"Jasper, MO",7,Jasper,MO,Missouri
"Jefferson, MO",10,Jefferson,MO,Missouri
"Johnson, MO",8,Johnson,MO,Missouri
"Knox, MO",5,Knox,MO,Missouri
"Laclede, MO",8,Laclede,MO,Missouri
"Lafayette, MO",10,Lafayette,MO,Missouri
"Lawrence, MO",9,Lawrence,MO,Missouri
"Lewis, MO",6,Lewis,MO,Missouri
"Lincoln, MO",8,Lincoln,MO,Missouri
"Linn, MO",5,Linn,MO,Missouri
"Livingston, MO",11,Livingston,MO,Missouri
"Macon, MO",6,Macon,MO,Missouri
"Madison, MO",8,Madison,MO,Missouri
"Maries, MO",7,Maries,MO,Missouri
"Marion, MO",7,Marion,MO,Missouri
"McDonald, MO",9,McDonald,MO,Missouri
"Mercer, MO",7,Mercer,MO,Missouri
"Miller, MO",7,Miller,MO,Missouri
"Mississippi, MO",12,Mississippi,MO,Missouri
"Moniteau, MO",9,Moniteau,MO,Missouri
"Monroe, MO",7,Monroe,MO,Missouri
"Montgomery, MO",11,Montgomery,MO,Missouri
"Morgan, MO",7,Morgan,MO,Missouri
"New Madrid, MO",11,New Madrid,MO,Missouri
"Newton, MO",7,Newton,MO,Missouri
"Nodaway, MO",8,Nodaway,MO,Missouri
"Oregon, MO",7,Oregon,MO,Missouri
"Osage, MO",6,Osage,MO,Missouri
"Ozark, MO",6,Ozark,MO,Missouri
"Pemiscot, MO",9,Pemiscot,MO,Missouri
"Perry, MO",6,Perry,MO,Missouri
"Pettis, MO",7,Pettis,MO,Missouri
"Phelps, MO",7,Phelps,MO,Missouri
"Pike, MO",5,Pike,MO,Missouri
"Platte, MO",7,Platte,MO,Missouri
"Polk, MO",5,Polk,MO,Missouri
"Pulaski, MO",8,Pulaski,MO,Missouri
"Putnam, MO",7,Putnam,MO,Missouri
"Ralls, MO",6,Ralls,MO,Missouri
"Randolph, MO",9,Randolph,MO,Missouri
"Ray, MO",4,Ray,MO,Missouri
"Reynolds, MO",9,Reynolds,MO,Missouri
"Ripley, MO",7,Ripley,MO,Missouri
"Saline, MO",7,Saline,MO,Missouri
"Schuyler, MO",9,Schuyler,MO,Missouri
"Scotland, MO",9,Scotland,MO,Missouri
"Scott, MO",6,Scott,MO,Missouri
"Shannon, MO",8,Shannon,MO,Missouri
"Shelby, MO",7,Shelby,MO,Missouri
"St. Charles, MO",12,St. Charles,MO,Missouri
"St. Clair, MO",10,St. Clair,MO,Missouri
"St. Francois, MO",13,St. Francois,MO,Missouri
"St. Louis city, MO",15,St. Louis city,MO,Missouri
"St. Louis, MO",10,St. Louis,MO,Missouri
"Ste. Genevieve, MO",15,Ste. Genevieve,MO,Missouri
"Stoddard, MO",9,Stoddard,MO,Missouri
"Stone, MO",6,Stone,MO,Missouri
"Sullivan, MO",9,Sullivan,MO,Missouri
"Taney, MO",6,Taney,MO,Missouri
"Texas, MO",6,Texas,MO,Missouri
"Vernon, MO",7,Vernon,MO,Missouri
"Warren, MO",7,Warren,MO,Missouri
"Washington, MO",11,Washington,MO,Missouri
"Wayne, MO",6,Wayne,MO,Missouri
"Webster, MO",8,Webster,MO,Missouri
"Worth, MO",6,Worth,MO,Missouri
"Wright, MO",7,Wright,MO,Missouri
"Beaverhead, MT",11,Beaverhead,MT,Montana
"Big Horn, MT",9,Big Horn,MT,Montana
"Blaine, MT",7,Blaine,MT,Montana
"Broadwater, MT",11,Broadwater,MT,Montana
"Carbon, MT",7,Carbon,MT,Montana
"Carter, MT",7,Carter,MT,Montana
"Cascade, MT",8,Cascade,MT,Montana
"Chouteau, MT",9,Chouteau,MT,Montana
"Custer, MT",7,Custer,MT,Montana
"Daniels, MT",8,Daniels,MT,Montana
"Dawson, MT",7,Dawson,MT,Montana
"Deer Lodge, MT",11,Deer Lodge,MT,Montana
"Fallon, MT",7,Fallon,MT,Montana
"Fergus, MT",7,Fergus,MT,Montana
"Flathead, MT",9,Flathead,MT,Montana
"Gallatin, MT",9,Gallatin,MT,Montana
"Garfield, MT",9,Garfield,MT,Montana
"Glacier, MT",8,Glacier,MT,Montana
"Golden Valley, MT",14,Golden Valley,MT,Montana
"Granite, MT",8,Granite,MT,Montana
"Hill, MT",5,Hill,MT,Montana
"Jefferson, MT",10,Jefferson,MT,Montana
"Judith Basin, MT",13,Judith Basin,MT,Montana
"Lake, MT",5,Lake,MT,Montana
"Lewis and Clark, MT",16,Lewis and Clark,MT,Montana
"Liberty, MT",8,Liberty,MT,Montana
"Lincoln, MT",8,Lincoln,MT,Montana
"Madison, MT",8,Madison,MT,Montana
"McCone, MT",7,McCone,MT,Montana
"Meagher, MT",8,Meagher,MT,Montana
"Mineral, MT",8,Mineral,MT,Montana
"Missoula, MT",9,Missoula,MT,Montana
"Musselshell, MT",12,Musselshell,MT,Montana
"Park, MT",5,Park,MT,Montana
"Petroleum, MT",10,Petroleum,MT,Montana
"Phillips, MT",9,Phillips,MT,Montana
"Pondera, MT",8,Pondera,MT,Montana
"Powder River, MT",13,Powder River,MT,Montana
"Powell, MT",7,Powell,MT,Montana
"Prairie, MT",8,Prairie,MT,Montana
"Ravalli, MT",8,Ravalli,MT,Montana
"Richland, MT",9,Richland,MT,Montana
"Roosevelt, MT",10,Roosevelt,MT,Montana
"Rosebud, MT",8,Rosebud,MT,Montana
"Sanders, MT",8,Sanders,MT,Montana
"Sheridan, MT",9,Sheridan,MT,Montana
"Silver Bow, MT",11,Silver Bow,MT,Montana
"Stillwater, MT",11,Stillwater,MT,Montana
"Sweet Grass, MT",12,Sweet Grass,MT,Montana
"Teton, MT",6,Teton,MT,Montana
"Toole, MT",6,Toole,MT,Montana
"Treasure, MT",9,Treasure,MT,Montana
"Valley, MT",7,Valley,MT,Montana
"Wheatland, MT",10,Wheatland,MT,Montana
"Wibaux, MT",7,Wibaux,MT,Montana
"Yellowstone National Park, MT",26,Yellowstone National Park,MT,Montana
"Yellowstone, MT",12,Yellowstone,MT,Montana
"Adams, NE",6,Adams,NE,Nebraska
"Antelope, NE",9,Antelope,NE,Nebraska
"Arthur, NE",7,Arthur,NE,Nebraska
"Banner, NE",7,Banner,NE,Nebraska
"Blaine, NE",7,Blaine,NE,Nebraska
"Boone, NE",6,Boone,NE,Nebraska
"Box Butte, NE",10,Box Butte,NE,Nebraska
"Boyd, NE",5,Boyd,NE,Nebraska
"Brown, NE",6,Brown,NE,Nebraska
"Buffalo, NE",8,Buffalo,NE,Nebraska
"Burt, NE",5,Burt,NE,Nebraska
"Butler, NE",7,Butler,NE,Nebraska
"Cass, NE",5,Cass,NE,Nebraska
"Cedar, NE",6,Cedar,NE,Nebraska
"Chase, NE",6,Chase,NE,Nebraska
"Cherry, NE",7,Cherry,NE,Nebraska
"Cheyenne, NE",9,Cheyenne,NE,Nebraska
"Clay, NE",5,Clay,NE,Nebraska
"Colfax, NE",7,Colfax,NE,Nebraska
"Cuming, NE",7,Cuming,NE,Nebraska
"Custer, NE",7,Custer,NE,Nebraska
"Dakota, NE",7,Dakota,NE,Nebraska
"Dawes, NE",6,Dawes,NE,Nebraska
"Dawson, NE",7,Dawson,NE,Nebraska
"Deuel, NE",6,Deuel,NE,Nebraska
"Dixon, NE",6,Dixon,NE,Nebraska
"Dodge, NE",6,Dodge,NE,Nebraska
"Douglas, NE",8,Douglas,NE,Nebraska
"Dundy, NE",6,Dundy,NE,Nebraska
"Fillmore, NE",9,Fillmore,NE,Nebraska
"Franklin, NE",9,Franklin,NE,Nebraska
"Frontier, NE",9,Frontier,NE,Nebraska
"Furnas, NE",7,Furnas,NE,Nebraska
"Gage, NE",5,Gage,NE,Nebraska
"Garden, NE",7,Garden,NE,Nebraska
"Garfield, NE",9,Garfield,NE,Nebraska
"Gosper, NE",7,Gosper,NE,Nebraska
"Grant, NE",6,Grant,NE,Nebraska
"Greeley, NE",8,Greeley,NE,Nebraska
"Hall, NE",5,Hall,NE,Nebraska
"Hamilton, NE",9,Hamilton,NE,Nebraska
"Harlan, NE",7,Harlan,NE,Nebraska
"Hayes, NE",6,Hayes,NE,Nebraska
"Hitchcock, NE",10,Hitchcock,NE,Nebraska
"Holt, NE",5,Holt,NE,Nebraska
"Hooker, NE",7,Hooker,NE,Nebraska
"Howard, NE",7,Howard,NE,Nebraska
"Jefferson, NE",10,Jefferson,NE,Nebraska
"Johnson, NE",8,Johnson,NE,Nebraska
"Kearney, NE",8,Kearney,NE,Nebraska
"Keith, NE",6,Keith,NE,Nebraska
"Keya Paha, NE",10,Keya Paha,NE,Nebraska
"Kimball, NE",8,Kimball,NE,Nebraska
"Knox, NE",5,Knox,NE,Nebraska
"Lancaster, NE",10,Lancaster,NE,Nebraska
"Lincoln, NE",8,Lincoln,NE,Nebraska
"Logan, NE",6,Logan,NE,Nebraska
"Loup, NE",5,Loup,NE,Nebraska
